model,red_threshold,green_threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,critical_errors,critical_error_rate,false_alarms,false_alarm_rate,red_to_yellow_rate,green_to_yellow_rate
hgb_final,0.25,0.99,0.8138879097638351,0.9014150027431151,0.8385232321436161,0.8268089748417431,1,0.07836990595611285,10,0.18281535648994515,0.6269592476489028,28.57404021937843
hgb_final,0.3,0.99,0.8138879097638351,0.9014150027431151,0.838692043985867,0.8268693239045467,1,0.07836990595611285,8,0.14625228519195613,0.6269592476489028,28.610603290676416
hgb_final,0.35,0.99,0.8138879097638351,0.9014150027431151,0.8387766288809786,0.8268995835130843,1,0.07836990595611285,7,0.12797074954296161,0.6269592476489028,28.62888482632541
hgb_final,0.4,0.99,0.8137704147573728,0.9011537697232614,0.8385998953290752,0.8268123127433484,1,0.07836990595611285,7,0.12797074954296161,0.7053291536050157,28.62888482632541
hgb_final,0.45,0.99,0.8137704147573728,0.9011537697232614,0.8387694576540664,0.8268730237581551,1,0.07836990595611285,5,0.09140767824497258,0.7053291536050157,28.6654478976234
hgb_final,0.5,0.99,0.8137704147573728,0.9011537697232614,0.8387694576540664,0.8268730237581551,1,0.07836990595611285,5,0.09140767824497258,0.7053291536050157,28.6654478976234
hgb_final,0.55,0.99,0.8134179297379861,0.9003700706637003,0.8382388446214843,0.8266110625283577,1,0.07836990595611285,5,0.09140767824497258,0.9404388714733543,28.6654478976234
hgb_final,0.6,0.99,0.8133004347315239,0.9001088376438466,0.8380618016696442,0.8265236708669615,1,0.07836990595611285,5,0.09140767824497258,1.018808777429467,28.6654478976234
hgb_final,0.65,0.99,0.8131829397250617,0.8998476046239929,0.8378846725263237,0.8264362434774628,1,0.07836990595611285,5,0.09140767824497258,1.09717868338558,28.6654478976234
hgb_final,0.7,0.99,0.8130654447185994,0.8995863716041392,0.8377074570586526,0.8263487802983165,1,0.07836990595611285,5,0.09140767824497258,1.1755485893416928,28.6654478976234
hgb_final,0.2,0.995,0.7542004464810246,0.8706585636118415,0.7952093647377447,0.770708488122245,0,0.0,12,0.21937842778793418,0.6269592476489028,37.842778793418645
hgb_final,0.25,0.995,0.7540829514745623,0.8703973305919878,0.7952245276539306,0.7706959796764925,0,0.0,10,0.18281535648994515,0.7053291536050157,37.879341864716636
hgb_final,0.3,0.995,0.7540829514745623,0.8703973305919878,0.7954090245008257,0.7707660869462742,0,0.0,8,0.14625228519195613,0.7053291536050157,37.91590493601463
hgb_final,0.35,0.995,0.7540829514745623,0.8703973305919878,0.7955014452912534,0.7708012215478443,0,0.0,7,0.12797074954296161,0.7053291536050157,37.93418647166362
hgb_final,0.4,0.995,0.7539654564681001,0.8701360975721341,0.795332543234396,0.770718823033574,0,0.0,7,0.12797074954296161,0.7836990595611284,37.93418647166362
hgb_final,0.45,0.995,0.7539654564681001,0.8701360975721341,0.7955177553618515,0.7707892703548131,0,0.0,5,0.09140767824497258,0.7836990595611284,37.970749542961606
hgb_final,0.5,0.995,0.7539654564681001,0.8701360975721341,0.7955177553618515,0.7707892703548131,0,0.0,5,0.09140767824497258,0.7836990595611284,37.970749542961606
hgb_final,0.55,0.995,0.7536129714487134,0.869352398512573,0.7950105841132515,0.7705418931041237,0,0.0,5,0.09140767824497258,1.018808777429467,37.970749542961606
hgb_final,0.6,0.995,0.7534954764422512,0.8690911654927191,0.7948413463239549,0.770459357315794,0,0.0,5,0.09140767824497258,1.09717868338558,37.970749542961606
hgb_final,0.65,0.995,0.7533779814357889,0.8688299324728656,0.7946720179659187,0.7703767830761106,0,0.0,5,0.09140767824497258,1.1755485893416928,37.970749542961606
hgb_final,0.7,0.995,0.7532604864293267,0.8685686994530117,0.794502598909547,0.7702941703255664,0,0.0,5,0.09140767824497258,1.2539184952978055,37.970749542961606
